City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
221,Palmer,42.1584,-72.3287,25.41,50,75,26.46,US,broken clouds
222,Rocky Mountain House,52.3668,-114.9188,22.84,94,100,14.56,CA,snow
223,Lebu,-37.6167,-73.65,58.21,92,50,12.55,CL,scattered clouds
224,Cranbrook,49.4999,-115.7688,35.83,86,82,8.48,CA,broken clouds
225,Vestmannaeyjar,63.4427,-20.2734,35.4,76,100,45.81,IS,overcast clouds
226,Ugoofaaru,5.6667,73.0,82.04,77,32,12.66,MV,scattered clouds
227,Cabo San Lucas,22.8909,-109.9124,71.51,65,75,4.61,MX,broken clouds
228,Rio Gallegos,-51.6226,-69.2181,47.14,69,100,8.08,AR,overcast clouds
229,Nortelandia,-14.4547,-56.8028,71.96,97,97,5.35,BR,overcast clouds
230,Oia,40.5426,-8.5386,45.45,80,8,3.96,PT,clear sky
231,Altay,47.8667,88.1167,6.96,65,6,6.4,CN,clear sky
232,Ponta Delgada,37.7333,-25.6667,55.51,76,20,8.05,PT,few clouds
233,Zonguldak,41.25,31.8333,33.49,71,20,5.55,TR,few clouds
234,Moerai,-22.4333,-151.3333,80.4,75,14,15.08,PF,light rain
235,Sao Paulo Do Potengi,-5.895,-35.7628,77.11,91,1,4.52,BR,light rain
236,Puerto Baquerizo Moreno,-0.9,-89.6,76.78,80,14,8.77,EC,few clouds
237,Saldanha,-33.0117,17.9442,62.04,92,3,10.65,ZA,clear sky
238,Sola,-13.8833,167.55,82.17,72,94,4.65,VU,very heavy rain
239,Katsuura,35.1333,140.3,49.1,88,100,7.87,JP,overcast clouds
240,Huilong,31.8111,121.655,35.98,45,100,17.96,CN,overcast clouds
241,Jumla,29.2747,82.1838,33.39,80,66,2.33,NP,broken clouds
242,Lensk,60.7253,114.9278,-7.06,96,58,3.42,RU,broken clouds
243,Bathsheba,13.2167,-59.5167,76.96,74,32,15.99,BB,scattered clouds
244,Miri,4.4148,114.0089,74.32,89,100,4.12,MY,overcast clouds
245,Yarmouth,41.7057,-70.2286,29.97,47,0,24.16,US,clear sky
246,Keetmanshoop,-26.5833,18.1333,76.23,39,0,4.72,NA,clear sky
247,Beloha,-25.1667,45.05,70.57,84,0,9.64,MG,clear sky
248,San Cristobal,7.7669,-72.225,69.98,91,82,2.59,VE,broken clouds
249,Tahta,26.7693,31.5021,50.02,63,0,7.05,EG,clear sky
250,Tanda,26.55,82.65,54.61,61,0,7.54,IN,clear sky
251,Wonthaggi,-38.6044,145.5913,82.38,62,100,12.75,AU,overcast clouds
252,Ereymentau,51.6199,73.1033,7.68,79,0,5.53,KZ,clear sky
253,Yellowknife,62.456,-114.3525,-27.44,98,22,5.95,CA,few clouds
254,Dingle,10.9995,122.6711,85.03,64,85,11.48,PH,overcast clouds
255,Powell,40.1578,-83.0752,21.18,74,0,3.44,US,clear sky
256,Pisco,-13.7,-76.2167,71.65,78,75,12.66,PE,broken clouds
257,Port Macquarie,-31.4333,152.9167,80.89,64,44,9.04,AU,scattered clouds
258,Port Blair,11.6667,92.75,78.51,61,51,7.81,IN,broken clouds
259,Hokitika,-42.7167,170.9667,65.3,60,0,6.24,NZ,clear sky
260,Praya,14.9215,-23.5087,68.54,73,20,23.02,CV,few clouds
261,Saint-Joseph,-21.3667,55.6167,79.18,93,100,26.13,RE,heavy intensity rain
262,Loandjili,-4.7561,11.8578,77.92,88,98,4.18,CG,overcast clouds
263,Cairns,-16.9167,145.7667,96.3,79,100,11.5,AU,light rain
264,Hami,42.8,93.45,23.58,31,0,4.54,CN,clear sky
265,Zhigansk,66.7697,123.3711,-28.44,100,94,9.13,RU,overcast clouds
266,Mandalgovi,45.7625,106.2708,3.79,55,0,9.69,MN,clear sky
267,Mount Gambier,-37.8333,140.7667,66.96,54,100,10.98,AU,overcast clouds
268,Sloboda,51.1421,40.3021,35.35,92,100,16.44,RU,overcast clouds
269,Byron Bay,-28.65,153.6167,82.51,73,97,6.17,AU,overcast clouds
270,Tilichiki,60.4667,166.1,-13.25,83,6,12.1,RU,clear sky
271,Alicia,16.7794,121.6973,77.59,86,100,4.99,PH,overcast clouds
272,Ararat,39.8317,44.7049,28.74,64,2,6.15,AM,clear sky
273,Porbandar,21.6422,69.6093,70.05,44,3,9.42,IN,clear sky
274,Naze,28.3667,129.4833,50.92,73,100,24.76,JP,overcast clouds
275,Korla,41.7597,86.1469,24.53,53,7,3.65,CN,clear sky
276,Santiago De Cao,-7.9589,-79.2392,68.13,88,20,6.91,PE,few clouds
277,Namatanai,-3.6667,152.4333,84.16,72,100,8.12,PG,light rain
278,Pensacola,30.4213,-87.2169,55.94,50,0,4.61,US,clear sky
279,Norman Wells,65.282,-126.8329,-9.36,70,75,13.8,CA,broken clouds
280,Puerto Leguizamo,-0.1934,-74.7819,79.18,68,100,2.01,CO,overcast clouds
281,Leningradskiy,69.3833,178.4167,-25.83,99,96,2.21,RU,overcast clouds
282,Torbay,47.6666,-52.7314,27.75,86,100,12.66,CA,light shower snow
283,Riviere-Au-Renard,48.9957,-64.3971,21.2,96,100,4.81,CA,light snow
284,Talnakh,69.4865,88.3972,22.21,96,100,12.84,RU,snow
285,Beidao,34.5686,105.8933,21.33,67,100,3.98,CN,overcast clouds
286,Burnie,-41.0667,145.9167,63.99,64,100,12.68,AU,overcast clouds
287,Adrar,20.5022,-10.0711,65.43,24,0,10.8,MR,clear sky
288,Waspan,14.7419,-83.9717,70.99,94,7,3.33,NI,clear sky
289,Georgetown,5.4112,100.3354,85.95,74,20,0.0,MY,few clouds
290,Lata,40.1629,-8.3327,43.05,70,8,4.05,PT,clear sky
291,Nambucca Heads,-30.65,153.0,82.17,69,100,8.95,AU,overcast clouds
292,Diffa,13.3154,12.6113,64.53,32,59,13.71,NE,broken clouds
293,Otradnoye,59.7775,30.8181,27.55,89,100,11.07,RU,overcast clouds
294,Sinegorye,62.0788,150.477,-15.0,99,94,2.48,RU,overcast clouds
295,San Javier,37.8063,-0.8374,56.91,73,100,13.8,ES,overcast clouds
296,Ouadda,8.0777,22.4007,72.77,18,66,9.06,CF,broken clouds
297,Tezu,27.9167,96.1667,60.22,77,99,1.68,IN,overcast clouds
298,Entre-Deux,-21.2333,55.4667,77.25,89,100,33.38,RE,heavy intensity rain
299,Saint George,37.1041,-113.5841,59.59,20,0,3.44,US,clear sky
300,Karratha,-20.7377,116.8463,101.71,22,0,12.19,AU,clear sky
301,Jiexiu,37.0244,111.9125,27.43,24,0,9.17,CN,clear sky
302,Sakakah,29.9697,40.2064,49.57,70,29,13.71,SA,scattered clouds
303,Carcassonne,43.25,2.1667,46.65,84,40,8.05,FR,scattered clouds
304,Along,28.1667,94.7667,54.61,91,100,1.99,IN,overcast clouds
305,Maragogi,-9.0122,-35.2225,79.61,79,10,10.4,BR,clear sky
306,Bilibino,68.0546,166.4372,-19.12,94,43,2.73,RU,scattered clouds
307,Galesong,-5.3166,119.3661,84.22,80,100,6.55,ID,overcast clouds
308,Sanmenxia,34.7747,111.1814,36.12,36,49,3.67,CN,scattered clouds
309,San Ignacio,17.1561,-89.0714,73.54,88,0,0.0,BZ,clear sky
310,Kailua,21.4022,-157.7394,78.78,81,25,1.99,US,scattered clouds
311,Kapit,2.0167,112.9333,71.98,98,100,1.52,MY,overcast clouds
312,Bad Laasphe,50.9333,8.4,42.78,74,100,20.36,DE,overcast clouds
313,Kudahuvadhoo,2.6708,72.8944,82.35,67,100,9.69,MV,overcast clouds
314,Nanning,22.8167,108.3167,43.25,92,100,7.49,CN,overcast clouds
315,Port Hardy,50.6996,-127.4199,41.76,87,100,6.91,CA,light intensity shower rain
316,Druzhba,52.0428,33.9453,34.63,82,99,20.36,UA,overcast clouds
317,Pevek,69.7008,170.3133,-32.87,98,22,0.72,RU,few clouds
318,Mabaruma,8.2,-59.7833,73.33,85,100,4.0,GY,overcast clouds
319,Cockburn Town,21.4612,-71.1419,77.16,75,26,15.64,TC,scattered clouds
320,Nikki,9.9401,3.2108,75.69,13,29,5.35,BJ,scattered clouds
321,Guangyuan,32.442,105.823,42.66,41,100,3.38,CN,overcast clouds
322,Warrnambool,-38.3833,142.4833,65.8,63,100,12.03,AU,overcast clouds
